Wavelength	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity	Intensity
nm	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.	arb. u.
Wavelength	5 K	20 K	35 K	50 K	65 K	80 K	95 K	110 K	125 K	140 K	155 K	170 K	185 K	200 K	215 K	230 K	245 K	260 K	275 K	290 K
420	204058.828	176809.813	81506.8359	22585.3711	12899.1865	9327.96484	4886.94824	2829.79907	2023.5033	1761.91187	1614.20142	1548.27222	1518.63159	1585.00232	1454.31445	1483.93005	1407.84558	1419.09204	1401.94202	1377.31763
421	203248.953	176919.391	82155.6016	22266.6152	12598.2725	9028.70215	4822.95801	2778.92554	2085.70044	1821.16296	1638.38306	1585.55713	1571.62903	1531.02966	1506.70544	1568.71179	1437.06128	1486.36987	1414.53906	1514.98059
422	204151.313	175090.391	81199.125	22453.3965	12507.2256	8890.22949	4746.46533	2844.75244	2040.39478	1802.13147	1759.04248	1624.08813	1586.94971	1568.78674	1551.15918	1502.06714	1497.47253	1444.74414	1401.84802	1425.43921
423	201615.984	173791.609	80602.3672	21786.2598	12428.7861	8919.92188	4743.08887	2783.9436	2164.41211	1865.79102	1766.43762	1692.98755	1650.00549	1656.79944	1560.25916	1562.81885	1487.11731	1587.24402	1493.81628	1476.49219
424	201235.813	175655.844	81087.5469	21728.1094	12110.625	8685.87207	4651.72168	2785.82739	2148.854	1868.79626	1787.87207	1794.45581	1708.04419	1625.84106	1649.0105	1604.30554	1560.96484	1535.33264	1569.90039	1572.68091
425	203276.875	174400.813	80852.9844	21559.3184	12128.9277	8604.69238	4797.17139	2874.63428	2156.90381	1891.31555	1902.8783	1738.45532	1739.92725	1732.31506	1641.1012	1586.71619	1660.01208	1591.58606	1575.4281	1594.5658
426	200950.328	174118.969	80040.5391	21301.7402	11916.5615	8626.67285	4688.46045	2888.09717	2207.94849	1875.0697	1957.94775	1805.82117	1672.9812	1704.98767	1747.28052	1730.05298	1632.40808	1692.42749	1689.14368	1631.30444
427	201207.844	176526.016	81178.3672	21347.7695	11784.4893	8584.52246	4808.50781	2895.04468	2288.53809	2056.57935	1943.31409	1921.94165	1846.04602	1775.22681	1766.80847	1744.92102	1758.36047	1762.58716	1677.76379	1694.172
428	205049.891	176722.422	82370.2109	21769.8789	11846.4189	8584.39941	4780.29199	2959.85254	2338.93359	1983.26758	2014.92932	1952.11316	1900.50586	1928.80762	1817.79712	1774.80103	1704.92163	1784.9209	1787.57483	1784.06824
429	204310.297	176978.141	82092.2813	21483.7578	12091.1279	8752.34082	4678.70068	3046.37671	2441.19312	2179.66187	2041.55408	1956.05823	2027.40076	1954.60767	1799.13232	1901.96912	1877.52271	1764.22107	1800.70032	1674.8125
430	205247.906	180452.922	84041.8047	21583.1445	12125.5264	8497.51172	4765.21924	3055.24146	2374.8877	2192.80322	2123.15137	2013.17273	1936.68237	1954.00916	1831.19824	1850.84607	1823.9303	1908.70618	1792.78333	1700.27258
431	208081.406	181146.609	84441.9063	22046.793	11935.501	8479.62207	4912.59326	3122.44214	2455.28857	2178.37183	2061.73438	2135.37671	1995.4093	1893.65662	1885.49316	1835.99683	1872.32983	1852.22546	1815.31335	1831.92139
432	208278.453	181696.172	84178.6094	22015.3477	12143.4805	8675.7832	4871.83545	3070.77002	2476.7146	2214.23804	2159.0459	2028.22266	2078.15479	1941.58301	1965.74597	1856.10559	1778.20435	1829.70752	1772.49634	1874.3313
433	210105.813	185174.016	86566.7344	21828.8984	12124.8115	8587.78516	4884.45361	3107.60791	2490.66626	2266.95068	2013.22437	2013.23486	1937.39575	1846.55835	1867.15845	1803.01746	1913.06506	1746.33569	1819.11169	1784.83423
434	214907.797	186703.141	87686.4141	22444.9023	12218.2656	8605.91113	4901.68701	3097.43726	2424.09595	2235.2312	2037.5155	2058.27344	2016.25122	1954.82397	1874.03967	1925.30859	1885.83289	1839.40698	1755.30981	1774.46851
435	215176.672	188466.219	88078.6797	22488.9512	12420.0439	8947.87207	5003.90527	3121.14673	2388.34814	2128.15161	2185.77881	1964.32642	1903.92114	1873.07104	1876.2207	1846.96704	1866.87854	1783.59949	1686.62769	1782.51978
436	217361.594	194180.328	90756.2109	22581.002	12521.1904	8973.68066	5087.68311	3143.35742	2439.11401	2228.8894	2084.54956	1977.59705	1950.33496	1834.89185	1856.63086	1836.38892	1797.78784	1713.97705	1786.61353	1814.45093
437	222412.531	195915.703	92313.0859	23136.7773	12538.666	9164.71191	4963.16211	3061.43311	2539.27173	2155.92944	2103.53418	1953.85938	1978.11414	1942.50903	1843.40662	1849.79834	1850.46594	1797.66345	1746.61377	1740.05615
438	225038.313	197548.609	93129	23425.8145	12851.1992	9252.65137	5071.4043	3149.63818	2500.8562	2219.26025	2060.28491	1998.94971	1992.6001	1950.26477	1837.94214	1765.1449	1719.59558	1783.87512	1776.96484	1817.77783
439	228512.375	204795.859	95681.875	23716.8926	13380.2568	9435.27832	5232.84082	3193.49146	2484.72437	2126.77271	2129.8645	1953.25598	1906.0022	1934.08057	1841.55786	1782.34155	1876.26636	1734.59607	1792.3158	1717.98621
440	234293.406	207555.828	98226.7969	24819.8574	13423.1709	9737.18555	5240.45654	3189.93628	2508.37744	2130.86206	2068.45679	2071.09326	1883.14612	1872.20996	1794.21838	1719.25549	1743.33362	1667.36426	1763.39417	1715.31433
441	238084.266	209848.609	99359.4141	24748.5957	13870.2227	10001.584	5455.44434	3392.60864	2566.7085	2236.896	2076.5354	1963.80579	1952.6532	1828.12219	1773.76147	1798.16833	1773.88538	1808.12854	1752.46094	1755.43726
442	242087.813	219438.859	102294.68	24961.2695	13971.3174	10174.6816	5489.87842	3301.61304	2515.08691	2168.01245	2071.30713	2042.4353	1928.51917	1788.59766	1806.52185	1868.9259	1791.02893	1733.45129	1666.20935	1692.7627
443	249320.922	221147.25	105269.102	26008.9297	14140.6543	10293.7891	5565.396	3418.89111	2521.81665	2131.75293	2186.69727	1988.79858	1955.93848	1850.25952	1829.4928	1785.54248	1718.24829	1738.25305	1701.64856	1687.72546
444	254919.703	225662.938	106965.375	26508.8027	15479.7383	11085.7695	5803.16113	3367.42456	2551.97632	2233.20801	2103.9231	2031.55542	1888.29407	1847.12793	1807.53931	1803.71228	1803.61707	1715.53271	1717.72668	1660.52014
445	258497.844	234404.859	109330.727	27321.8848	15809.6064	10974.209	5897.86865	3451.82129	2591.51147	2283.05151	2010.6001	1992.66992	1900.43054	1815.16577	1850.72534	1805.95923	1730.0426	1717.05957	1719.33691	1669.07544
446	268562.344	240010.031	112766.141	28078.9277	16332.1709	11752.7861	5980.54541	3538.00635	2661.22656	2214.44922	2027.11719	1970.14844	1872.35791	1874.7428	1834.77991	1733.50269	1690.74731	1689.41638	1705.97388	1630.78198
447	274113.5	244196.234	115280.453	28903.6113	17009.2559	12354.1553	6433.32617	3572.68604	2551.01343	2324.79175	2052.70459	2011.18909	1840.86157	1813.09912	1734.68689	1727.04138	1670.49719	1679.27844	1657.38452	1741.78735
